keyword,persona_name,search_volume_total,competition_level,priority_score
캡스고객센터,보안업체 비교 고객,20030,낮음,88.0
KT,보안업체 비교 고객,635700,높음,77.0
홈캠,홈캠 비교 고객,73400,높음,77.0
캡스,보안업체 비교 고객,29500,높음,75.0
현관CCTV,홈캠 비교 고객,13830,높음,72.0
SECURITY,보안업체 비교 고객,9650,높음,70.0
보안,보안업체 비교 고객,8600,높음,70.0
홈캠추천,홈캠 비교 고객,7460,높음,70.0
CCTV설치,B2B CCTV 고객,6070,높음,70.0
CCTV추천,홈캠 비교 고객,5690,높음,70.0
무선CCTV,홈캠 비교 고객,6830,높음,67.0
도어가드,보안업체 비교 고객,6290,높음,67.0
ADT뷰가드,보안업체 비교 고객,5400,높음,67.0
기가아이즈,보안업체 비교 고객,4460,중간,67.0
텔레캅,보안업체 비교 고객,1920,중간,67.0
LG홈캠,홈캠 비교 고객,1090,중간,65.0
세콤CCTV,보안업체 비교 고객,1050,중간,65.0
세콤고객센터,보안업체 비교 고객,4140,중간,63.0
홈캠거치대,홈캠 비교 고객,12610,높음,62.0
KTCCTV,보안업체 비교 고객,5150,높음,60.0
시큐리티,보안업체 비교 고객,4420,높음,60.0
홈캠설치,DIY 고객,4320,높음,60.0
씨씨티비,B2B CCTV 고객,3360,높음,60.0
캡스홈,보안업체 비교 고객,3220,높음,60.0
KT홈캠,홈캠 비교 고객,2170,높음,60.0
CAPS,보안업체 비교 고객,2120,높음,60.0
부산CCTV,B2B CCTV 고객,2080,높음,60.0
캡스도어가드,보안업체 비교 고객,1780,높음,60.0
ADT캡스뷰가드,보안업체 비교 고객,1760,높음,60.0
보안업체,보안업체 비교 고객,1630,높음,60.0
KT텔레캅CCTV,보안업체 비교 고객,1490,높음,60.0
KTCCTV가격,보안업체 비교 고객,1470,높음,60.0
캡스홈도어가드,보안업체 비교 고객,1370,높음,60.0
줌카메라,B2B CCTV 고객,1240,높음,60.0
CCTV설치비용,B2B CCTV 고객,1200,높음,60.0
매장CCTV,B2B CCTV 고객,1190,높음,60.0
KT기가아이즈,보안업체 비교 고객,1150,높음,60.0
강아지용품,홈캠 비교 고객,7490,높음,57.0
카메라추천,홈캠 비교 고객,6940,높음,57.0
펫캠,홈캠 비교 고객,4320,높음,57.0
홈CCTV,홈캠 비교 고객,4170,높음,57.0
스마트폰CCTV,홈캠 비교 고객,4050,높음,57.0
홈카메라,홈캠 비교 고객,3780,높음,57.0
캡스뷰가드,보안업체 비교 고객,3630,높음,57.0
도어캠,홈캠 비교 고객,2880,높음,57.0
KT텔레캅고객센터,보안업체 비교 고객,2650,높음,57.0
CCTV카메라,B2B CCTV 고객,2580,높음,57.0
NVR,B2B CCTV 고객,2420,높음,57.0
국산홈캠,홈캠 비교 고객,2280,높음,57.0
적외선카메라,B2B CCTV 고객,2240,높음,57.0
